Method	MaxD	QC	Ref	Mat	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
LRRmean	10000	Raw	OEE	GSA	Deletions	Medium	360	255	484	0.427	0.585	0.573	0.415	0.493	0.5	0.328
LRRmean	10000	Raw	OEE	GSA	Deletions	Large	16	0	27	0.372	1	0.628	0	0.542	0.61	0.372
LRRmean	10000	Raw	OEE	GSA	Duplications	All	1516	4465	3250	0.318	0.253	0.682	0.747	0.282	0.284	0.164
LRRmean	10000	Raw	OEE	GSA	Duplications	Small	1021	4140	3024	0.252	0.198	0.748	0.802	0.222	0.223	0.125
LRRmean	10000	Raw	OEE	GSA	Duplications	Medium	460	322	199	0.698	0.588	0.302	0.412	0.638	0.641	0.469
LRRmean	10000	Raw	OEE	GSA	Duplications	Large	35	3	10	0.778	0.921	0.222	0.079	0.843	0.846	0.729
LRRmean	10000	QCd	OEE	GSA	All	All	2189	3183	11494	0.16	0.407	0.84	0.593	0.23	0.255	0.13
LRRmean	10000	QCd	OEE	GSA	All	Small	1958	3155	10535	0.157	0.383	0.843	0.617	0.222	0.245	0.125
LRRmean	10000	QCd	OEE	GSA	All	Medium	200	27	892	0.183	0.881	0.817	0.119	0.303	0.402	0.179
LRRmean	10000	QCd	OEE	GSA	All	Large	31	1	40	0.437	0.969	0.563	0.031	0.602	0.65	0.431
LRRmean	10000	QCd	OEE	GSA	Deletions	All	1336	1590	8450	0.137	0.457	0.863	0.543	0.21	0.25	0.117
LRRmean	10000	QCd	OEE	GSA	Deletions	Small	1256	1579	7820	0.138	0.443	0.862	0.557	0.211	0.248	0.118
LRRmean	10000	QCd	OEE	GSA	Deletions	Medium	72	11	590	0.109	0.867	0.891	0.133	0.193	0.307	0.107
LRRmean	10000	QCd	OEE	GSA	Deletions	Large	8	0	29	0.216	1	0.784	0	0.356	0.465	0.216
LRRmean	10000	QCd	OEE	GSA	Duplications	All	853	1593	3044	0.219	0.349	0.781	0.651	0.269	0.276	0.155
LRRmean	10000	QCd	OEE	GSA	Duplications	Small	702	1576	2715	0.205	0.308	0.795	0.692	0.247	0.252	0.141
LRRmean	10000	QCd	OEE	GSA	Duplications	Medium	128	16	302	0.298	0.889	0.702	0.111	0.446	0.514	0.287
LRRmean	10000	QCd	OEE	GSA	Duplications	Large	23	1	11	0.676	0.958	0.324	0.042	0.793	0.805	0.657
LRRsd	10000	Raw	OEE	GSA	All	All	4155	9793	11297	0.269	0.298	0.731	0.702	0.283	0.283	0.165
LRRsd	10000	Raw	OEE	GSA	All	Small	3283	9206	10542	0.237	0.263	0.763	0.737	0.25	0.25	0.143
LRRsd	10000	Raw	OEE	GSA	All	Medium	821	584	691	0.543	0.584	0.457	0.416	0.563	0.563	0.392
LRRsd	10000	Raw	OEE	GSA	All	Large	51	3	39	0.567	0.944	0.433	0.056	0.708	0.732	0.548
LRRsd	10000	Raw	OEE	GSA	Deletions	All	2641	5384	8045	0.247	0.329	0.753	0.671	0.282	0.285	0.164
LRRsd	10000	Raw	OEE	GSA	Deletions	Small	2260	5127	7517	0.231	0.306	0.769	0.694	0.263	0.266	0.152
LRRsd	10000	Raw	OEE	GSA	Deletions	Medium	365	257	491	0.426	0.587	0.574	0.413	0.494	0.5	0.328
LRRsd	10000	Raw	OEE	GSA	Deletions	Large	16	0	29	0.356	1	0.644	0	0.525	0.596	0.356
LRRsd	10000	Raw	OEE	GSA	Duplications	All	1514	4409	3252	0.318	0.256	0.682	0.744	0.283	0.285	0.165
LRRsd	10000	Raw	OEE	GSA	Duplications	Small	1023	4079	3025	0.253	0.201	0.747	0.799	0.224	0.225	0.126
LRRsd	10000	Raw	OEE	GSA	Duplications	Medium	456	327	200	0.695	0.582	0.305	0.418	0.634	0.636	0.464
LRRsd	10000	Raw	OEE	GSA	Duplications	Large	35	3	10	0.778	0.921	0.222	0.079	0.843	0.846	0.729
LRRsd	10000	QCd	OEE	GSA	All	All	2157	3063	11535	0.158	0.413	0.842	0.587	0.228	0.255	0.129
LRRsd	10000	QCd	OEE	GSA	All	Small	1925	3034	10574	0.154	0.388	0.846	0.612	0.221	0.245	0.124
LRRsd	10000	QCd	OEE	GSA	All	Medium	202	28	894	0.184	0.878	0.816	0.122	0.305	0.402	0.18
LRRsd	10000	QCd	OEE	GSA	All	Large	30	1	40	0.429	0.968	0.571	0.032	0.594	0.644	0.423
LRRsd	10000	QCd	OEE	GSA	Deletions	All	1306	1529	8496	0.133	0.461	0.867	0.539	0.207	0.248	0.115
LRRsd	10000	QCd	OEE	GSA	Deletions	Small	1223	1517	7865	0.135	0.446	0.865	0.554	0.207	0.245	0.115
LRRsd	10000	QCd	OEE	GSA	Deletions	Medium	75	12	591	0.113	0.862	0.887	0.138	0.199	0.312	0.111
LRRsd	10000	QCd	OEE	GSA	Deletions	Large	8	0	29	0.216	1	0.784	0	0.356	0.465	0.216
LRRsd	10000	QCd	OEE	GSA	Duplications	All	851	1534	3039	0.219	0.357	0.781	0.643	0.271	0.279	0.157
LRRsd	10000	QCd	OEE	GSA	Duplications	Small	702	1517	2709	0.206	0.316	0.794	0.684	0.249	0.255	0.142
LRRsd	10000	QCd	OEE	GSA	Duplications	Medium	127	16	303	0.295	0.888	0.705	0.112	0.443	0.512	0.285
LRRsd	10000	QCd	OEE	GSA	Duplications	Large	22	1	11	0.667	0.957	0.333	0.043	0.786	0.799	0.647
Pos	10000	Raw	OEE	GSA	All	All	4139	9884	11365	0.267	0.295	0.733	0.705	0.28	0.281	0.163
Pos	10000	Raw	OEE	GSA	All	Small	3273	9284	10575	0.236	0.261	0.764	0.739	0.248	0.248	0.141
Pos	10000	Raw	OEE	GSA	All	Medium	815	597	724	0.53	0.577	0.47	0.423	0.552	0.553	0.382
Pos	10000	Raw	OEE	GSA	All	Large	51	3	41	0.554	0.944	0.446	0.056	0.699	0.724	0.537
Pos	10000	Raw	OEE	GSA	Deletions	All	2626	5417	8114	0.245	0.326	0.755	0.674	0.28	0.283	0.163
Pos	10000	Raw	OEE	GSA	Deletions	Small	2252	5158	7546	0.23	0.304	0.77	0.696	0.262	0.264	0.151
Pos	10000	Raw	OEE	GSA	Deletions	Medium	358	259	528	0.404	0.58	0.596	0.42	0.476	0.484	0.313
Pos	10000	Raw	OEE	GSA	Deletions	Large	16	0	32	0.333	1	0.667	0	0.5	0.577	0.333
Pos	10000	Raw	OEE	GSA	Duplications	All	1513	4467	3251	0.318	0.253	0.682	0.747	0.282	0.283	0.164
Pos	10000	Raw	OEE	GSA	Duplications	Small	1021	4126	3029	0.252	0.198	0.748	0.802	0.222	0.224	0.125
Pos	10000	Raw	OEE	GSA	Duplications	Medium	457	338	196	0.7	0.575	0.3	0.425	0.631	0.634	0.461
Pos	10000	Raw	OEE	GSA	Duplications	Large	35	3	9	0.795	0.921	0.205	0.079	0.854	0.856	0.745
Pos	10000	QCd	OEE	GSA	All	All	2171	3130	11625	0.157	0.41	0.843	0.59	0.227	0.254	0.128
Pos	10000	QCd	OEE	GSA	All	Small	1945	3100	10625	0.155	0.386	0.845	0.614	0.221	0.244	0.124
Pos	10000	QCd	OEE	GSA	All	Medium	196	29	930	0.174	0.871	0.826	0.129	0.29	0.389	0.17
Pos	10000	QCd	OEE	GSA	All	Large	30	1	43	0.411	0.968	0.589	0.032	0.577	0.631	0.405
Pos	10000	QCd	OEE	GSA	Deletions	All	1330	1564	8576	0.134	0.46	0.866	0.54	0.208	0.248	0.116
Pos	10000	QCd	OEE	GSA	Deletions	Small	1251	1552	7908	0.137	0.446	0.863	0.554	0.209	0.247	0.117
Pos	10000	QCd	OEE	GSA	Deletions	Medium	71	12	625	0.102	0.855	0.898	0.145	0.182	0.295	0.1
Pos	10000	QCd	OEE	GSA	Deletions	Large	8	0	32	0.2	1	0.8	0	0.333	0.447	0.2
Pos	10000	QCd	OEE	GSA	Duplications	All	841	1566	3049	0.216	0.349	0.784	0.651	0.267	0.275	0.154
Pos	10000	QCd	OEE	GSA	Duplications	Small	694	1548	2717	0.203	0.31	0.797	0.69	0.246	0.251	0.14
Pos	10000	QCd	OEE	GSA	Duplications	Medium	125	17	305	0.291	0.88	0.709	0.12	0.437	0.506	0.28
Pos	10000	QCd	OEE	GSA	Duplications	Large	22	1	11	0.667	0.957	0.333	0.043	0.786	0.799	0.647
